GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff
12200049,2022-10-11,2022-23,1610612741,Chicago Bulls,127,W,1610612749,Milwaukee Bucks,104,L,1,0.6666666666666666,0.0,0.6666666666666666,0.38888888888888884,0.6666666666666666,-0.2777777777777778,0.5555555555555555,0.16666666666666663,0.38888888888888884,0.5,0.0,0.5
12200050,2022-10-11,2022-23,1610612762,Utah Jazz,104,L,1610612759,San Antonio Spurs,111,W,0,0.5,0.0,0.5,0.25,0.5,-0.25,0.25,0.0,0.25,0.5,0.0,0.5
12200051,2022-10-11,2022-23,1610612744,Golden State Warriors,131,W,1610612757,Portland Trail Blazers,98,L,1,0.6666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.5,-0.33333333333333337,0.33333333333333326,0.0,0.33333333333333326,0.5,0.0,0.5
12200052,2022-10-12,2022-23,1610612739,Cleveland Cavaliers,105,W,1610612737,Atlanta Hawks,99,L,1,0.0,1.0,-1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,-1.0
12200053,2022-10-12,2022-23,1610612754,Indiana Pacers,109,W,1610612752,New York Knicks,100,L,1,0.5,1.0,-0.5,0.5,0.75,-0.25,0.5,1.25,-0.75,0.5,0.5,0.0
12200054,2022-10-12,2022-23,1610612755,Philadelphia 76ers,99,W,1610612766,Charlotte Hornets,94,L,1,1.0,0.0,1.0,0.3333333333333333,0.375,-0.041666666666666685,0.8333333333333333,-0.125,0.9583333333333333,1.0,0.0,1.0
12200055,2022-10-12,2022-23,1610612748,Miami Heat,120,W,1610612740,New Orleans Pelicans,103,L,1,0.75,1.0,-0.25,0.625,0.16666666666666666,0.45833333333333337,0.875,0.6666666666666666,0.20833333333333337,0.5,1.0,-0.5
12200056,2022-10-12,2022-23,1610612749,Milwaukee Bucks,97,L,1610612751,Brooklyn Nets,107,W,0,0.0,0.0,0.0,0.6666666666666666,0.25,0.41666666666666663,0.16666666666666663,-0.25,0.41666666666666663,0.0,0.5,-0.5
12200057,2022-10-12,2022-23,1610612747,Los Angeles Lakers,113,L,1610612750,Minnesota Timberwolves,118,W,0,0.25,1.0,-0.75,0.75,0.5,0.25,0.5,1.0,-0.5,0.0,1.0,-1.0
12200058,2022-10-12,2022-23,1610612756,Phoenix Suns,104,L,1610612758,Sacramento Kings,105,W,0,0.5,1.0,-0.5,0.0,0.25,-0.25,0.0,0.75,-0.75,0.5,1.0,-0.5
