GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,HOME_FGM,HOME_FGA,HOME_FG3M,HOME_FG3A,HOME_OREB,HOME_DREB,HOME_FTM,HOME_FTA,HOME_REB,HOME_AST,HOME_TOV,HOME_PLUS_MINUS,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,AWAY_FGM,AWAY_FGA,AWAY_FG3M,AWAY_FG3A,AWAY_OREB,AWAY_DREB,AWAY_FTM,AWAY_FTA,AWAY_REB,AWAY_AST,AWAY_TOV,AWAY_PLUS_MINUS,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff,home_rest_days,away_rest_days,rest_diff,home_last10_pts_scored,away_last10_pts_scored,home_last10_pts_allowed,away_last10_pts_allowed,home_off_vs_away_def,away_off_vs_home_def,offensive_defensive_matchup_diff,off_def_matchup_diff,home_last10_efg,away_last10_efg,effective_fg_pct_diff,efg_diff,home_net_rating,away_net_rating,net_rating_diff,home_turnover_rate,away_turnover_rate,turnover_rate_diff
0012500042,2025-10-09,2025-26,1610612760,Oklahoma City Thunder,122,W,44,90,15,43,10,33,19,24,43,30,16,6.0,1610612766,Charlotte Hornets,116,L,38,93,16,43,14,37,24,32,51,21,19,-6.0,1,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,3,4,-1,112.0,114.0,110.0,135.0,-23.0,4.0,-27.0,-27.0,0.5098705856547489,0.4734042553191489,0.03646633033559993,0.03646633033559993,1.76498875789067,-21.13644174590445,22.90143050379512,13.076205409260318,15.426497277676951,-2.350291868416633
0012500017,2025-10-10,2025-26,1610612757,Portland Trail Blazers,124,W,43,91,10,37,20,30,28,40,50,17,17,1.0,1610612758,Sacramento Kings,123,L,43,88,11,34,12,26,26,33,38,20,17,-1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.5,-0.5,1.0,0.5,0.5,0.0,2,2,0,123.0,122.0,129.0,130.0,-7.0,-7.0,0.0,0.0,0.49514563106796117,0.5595238095238095,-0.06437817845584837,-0.06437817845584837,-3.883713446457847,-8.864439692494955,4.980726246037108,15.997156061144686,16.471449487554903,-0.47429342641021677
0012500044,2025-10-10,2025-26,1610612761,Toronto Raptors,107,W,38,88,16,46,15,19,15,21,34,30,18,2.0,1610612738,Boston Celtics,105,L,38,83,10,38,19,35,19,21,54,22,28,-2.0,1,0.5,1.0,-0.5,0.25,0.0,0.25,0.25,0.5,-0.25,0.0,1.0,-1.0,2,2,0,119.0,121.0,117.0,103.0,16.0,4.0,12.0,12.0,0.5286620595898947,0.5159574468085106,0.012704612781384017,0.012704612781384017,2.7887042426191613,20.964491676254525,-18.175787433635364,12.659735497276829,12.26878067195168,0.39095482532514936
0012500045,2025-10-10,2025-26,1610612759,San Antonio Spurs,134,W,44,92,13,48,13,36,33,42,49,30,14,4.0,1610612762,Utah Jazz,130,L,41,86,14,41,7,33,34,37,40,26,11,-4.0,1,1.0,0.0,1.0,0.0,1.0,-1.0,0.5,0.5,0.0,0.5,0.0,0.5,2,2,0,112.0,127.0,107.0,140.0,-28.0,20.0,-48.0,-48.0,0.5406976744186046,0.6741573033707865,-0.13345962895218189,-0.13345962895218189,7.153670118089536,-13.726306670011496,20.879976788101033,20.412130637636082,18.996960486322187,1.4151701513138946
0012500070,2025-10-10,2025-26,1610612755,Philadelphia 76ers,98,L,38,98,8,34,14,22,14,20,36,21,15,-30.0,1610612753,Orlando Magic,128,W,40,82,11,32,19,35,37,42,54,26,20,30.0,0,0.5,1.0,-0.5,0.5,0.5,0.0,0.5,1.0,-0.5,0.5,1.0,-0.5,7,6,1,100.0,126.0,100.0,118.0,-18.0,26.0,-44.0,-44.0,0.5,0.5255102040816326,-0.025510204081632626,-0.025510204081632626,0.0,7.513595882797844,-7.513595882797844,13.0,16.722408026755854,-3.722408026755854
0012500018,2025-10-11,2025-26,1610612763,Memphis Grizzlies,116,L,37,91,14,47,15,31,28,41,46,23,17,-6.0,1610612737,Atlanta Hawks,122,W,44,85,9,31,9,39,25,30,48,31,18,6.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,-2,107.5,113.0,124.5,122.0,-14.5,-11.5,-3.0,-3.0,0.47521905805038334,0.521978021978022,-0.046758963927638675,-0.046758963927638675,-16.377333858273495,-11.263800704275255,-5.11353315399824,18.46638680777923,12.278050623347186,6.188336184432044
0012500046,2025-10-11,2025-26,1610612754,Indiana Pacers,116,W,41,87,12,48,11,43,22,29,54,31,21,15.0,1610612760,Oklahoma City Thunder,101,L,32,83,12,37,7,30,25,30,37,18,18,-15.0,1,1.0,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.6666666666666667,1.5,0.49999999999999994,1.0,0.5,0.5,0.0,4,2,2,135.0,115.33333333333333,134.0,112.0,23.0,-18.66666666666667,41.66666666666667,41.66666666666667,0.5851063829787234,0.5306544645105733,0.05445191846815012,0.05445191846815012,3.2691717875542707,4.840655073610378,-1.5714832860561074,20.9351011863224,13.722475277845218,7.212625908477181
0012500047,2025-10-11,2025-26,1610612742,Dallas Mavericks,116,L,46,90,10,27,5,32,14,21,37,30,14,-4.0,1610612766,Charlotte Hornets,120,W,45,92,16,39,15,39,14,23,54,25,25,4.0,0,1.0,0.0,1.0,1.0,0.5,0.5,1.5,0.0,1.5,1.0,0.0,1.0,5,2,3,106.0,115.0,89.0,128.5,-22.5,26.0,-48.5,-48.5,0.4876543209876543,0.4840139556165637,0.003640365371090637,0.003640365371090637,17.60646423012311,-16.06421472547712,33.67067895560023,20.15355086372361,16.1893371470469,3.96421371667671
0012500004,2025-10-12,2025-26,1610612747,Los Angeles Lakers,126,W,43,80,12,27,12,26,28,35,38,28,20,10.0,1610612744,Golden State Warriors,116,L,48,91,14,43,10,22,6,8,32,32,20,-10.0,1,0.0,1.0,-1.0,0.5,0.25,0.25,0.0,0.75,-0.75,0.0,0.5,-0.5,7,4,3,92.0,120.0,107.0,113.0,-21.0,13.0,-34.0,-34.0,0.4197232947232947,0.5720639379347244,-0.1523406432114297,-0.1523406432114297,-11.154145764320432,5.150423692110124,-16.304569456430556,19.694901724359298,17.05380967294954,2.641092051409757
0012500048,2025-10-12,2025-26,1610612764,Washington Wizards,112,L,35,89,9,31,15,48,33,41,63,21,19,-1.0,1610612761,Toronto Raptors,113,W,36,107,14,49,17,42,27,30,59,21,10,1.0,0,0.5,0.6666666666666666,-0.16666666666666663,0.5,0.5,0.0,0.5,0.6666666666666666,-0.16666666666666663,0.5,1.0,-0.5,7,2,5,100.0,115.0,100.0,113.0,-13.0,15.0,-28.0,-28.0,0.5,0.526683797302354,-0.02668379730235404,-0.02668379730235404,0.0,2.869092091037473,-2.869092091037473,13.0,14.425458142105809,-1.4254581421058088
